lat,lng,osmid
43.8963261,-79.0190707,1825510001
43.4866555,-79.84088340000001,4283500956
43.768821,-79.3965749,1454595710
43.7001239,-79.4261094,832225924
43.9684527,-78.9572174,1771582190
43.8943958,-79.2151322,6761918007
43.66173010000001,-79.35689609999999,2056859694
43.8751204,-79.4064817,7773381647
43.3907516,-79.8129306,267290561
43.408514399999994,-79.7896878,267455457
43.3395009,-79.8105062,3870247297
43.9043923,-79.3900589,4564767643
43.7958033,-79.2373932,427044138
44.1103485,-79.1211814,4403100093
43.5554751,-79.7408988,447602600
43.8681479,-79.3049404,441787615
43.547135299999994,-79.7419372,447593389
43.624581799999994,-79.5904118,4147725098
43.5740636,-79.57320440000001,844869708
43.647192,-79.3714413,2590492037
